en	hu	la	pl	ja	zh	num	s	l	def	%comment
ash	hamu	cinis	popio1l1	hai 灰	hui1 灰	991	e	N	powder[<grey>,<white>,<black>], {<wood> burn} make	%
Asia	A1zsia	#	#	Ajia アジア　（亜州）	Yàzhōu 亚洲	3146	e	N	land, @Asia	%
at	-na1l	apud	u	ni に	zai4 ... na4li 在 ... 那里	2744	u	G	=agt has place, =pat[place], "at _" mark_ =pat	%
atmosphere	le1gko2r	caelum	atmosfera	taiki 大気	da4qi4 大气	3379	u	N	air, Earth has	%
atom	atom	atomus	atom	genshi 原子	yuan2zi3 原子	181	e	N	particle, lack part, small	%naive_theo:has nuclear(energy)
attack	roham	impetus	atak	kógeki 攻撃	gong1ji1 攻击	2034	u	V	violent, <ins_ weapon>, want hurt, want damage	%
attract	vonz	attracho	przycia1gac1	hikitsukeru 引き付ける	xi1yin3 吸引	2664	e	V	=agt cause_ {=pat want {=pat near =agt}}	%
authority	hato1sa1g	jurisdictio	wl1adza	ken'i 権威	quan2wei1 权威	2811	c	N	power, command, determine, judge	%
autumn	o3sz	autumnus	jesien1	aki 秋	qiu1tian1 秋天	1882	u	N	season/548, follow summer, winter follow, rain in, cool/1103, leaf change colour	%
awake	e1ber	vigilans	czujny	okite-iru 起きている	xing3zhede 醒着的	494	e	A	conscious	%
axis	tengely	axis	os1	jiku 軸	zhou2 轴	3377	e	N	line, round around, turn around, at middle, shape has	%
bad	rossz	malus	zl1y	warui 悪い	huai4 坏	2043	c	A	cause_ hurt	%
bake	su2t	coquo	piec	yaku 焼く	kao3 烤	2130	e	V	cook/825, =pat[<bread>, <cake>], =agt cause_ =pat[hard]	%
bark	ugat	latro	szczekac1	hoeru 吠える	fei4jiao4 吠叫	2517	e	U	sound/993[short,loud], <dog> make	%
base	alap	fundamentum	podstawa	kiso 基礎	ji1chu3 基础	146	e	N	part_of whole, at bottom, whole has bottom, cause_ whole[fix]	%
beam	suga1r	radius	promien1	hikari 光	guang1 光	2722	e	N	line, light/739, from <sun>	%
beautiful	sze1p	pulcher	pie1kny	kirei 綺麗	mei3 美	2170	u	A	attract gen	%
bed	a1gy	lectus	l1o1z1ko	beddo ベッド	chuang2 床	68	e	N	furniture, rest in	%
bee	me1h	apis	pszczol1a	hachi 蜂	mi4feng1 蜜蜂	1601	e	N	insect, has wing, sting, make honey	%
before	elo3tt	ante	przed	mae 前	yi3qian2 以前	2768	p	G	before	%
begin	kezd	incipio	zaczynac1	hajimeru 始める	kai1shi3 开始	1312	e	V	after(=pat)	%
belief	hit	opinio	wiara	shinnen 信念	xin4yang3 信仰	1063	e	N	believe	%
believe	hisz	credo	wierzyc1	shinjiru 信じる	xiang1xin4 相信	1062	u	V	=agt think =pat[true,real]	%
below	lent	infra	poniz1ej	shita 下	zai4…zhi1xia4 在...之下	1534	e	A	under	%
bend	i1v	curvatura	l1uk	wankyoku 湾曲	qu3xian4曲线	1112	e	N	line, lack straight/563	%
bend	hajlik	flecto	zginac1_sie1	mageru 曲げる	wan1qu1 弯曲	975	e	V	has form[change], after(lack straight/563)	%
best	legjobb	optimus	najlepszy	sairyó 最良、ichiban yoi 一番良い	zui4hao3 最好	1515	e	A	good, -est	%
between	ko2ze1	in/inter	mie1dzy	no aida ...の間	zai ... zhong1jian1 在 ... 中间	1409	e	G	=agt at =pat[place/2326], =agt separate =pat, "between _" mark_ =pat	%
big	nagy	magnus	duz1y	ókii 大きい	da4 大	1744	e	A	er_ gen	%
bird	mada1r	avis	ptak	tori 鳥	niao3 鸟	1576	c	N	animal, make egg, has feather, has two(wing)	%
bite	harap	mordeo	gryz1c1	kamu かむ	yao3 咬	1001	u	V	cut, ins_ <tooth>	%
black	fekete	niger	czarny	kuroi 黒い	hei1 黑	761	e	A	colour, dark, night has colour, coal has colour	%
blade	penge	lamina	ostrze	ha 刃	dao1ren4 刀刃	1954	e	N	cut, has edge, flat, <sword> has	%
blame	hiba1ztat	incuso	winic1	semeru 責める	ze2bei4 责备	1052	e	V	think =pat[responsible]	%
blood	ve1r	sanguis	krew	chi 血	xue4 血	2599	e	N	liquid, in body, red	%
blue	ke1k	caeruleus	niebieski	aoi 青い	qing1 青	1237	e	A	colour, sky has colour, cold	%
body	test	corpus	cial1o	karada 体	shen1ti3 身体	2370	u	N	object, animal has	%
bone	csont	os	kos1c1	hone 骨	gu3ge2 骨骼	431	e	N	material, rigid, frame, part_of body	%
book	ko2nyv	liber	ksia1z1ka	hon 本	shu1 书	1384	e	N	artefact, text in, has more(page), has cover, gen read	%
border	hata1r	confinium	granica	sakai 境	bian1jie4 边界	1011	e	N	line, official/1065, separate <two(country)>	%
bottom	fene1k	fundus	dno	soko 底	di3bu4 底部	787	c	N	part_of whole, position, deep( er_ whole)	%
bowl	kupa	scyphus	miska	utsuwa 器	wan3 碗	1462	e	N	round, wide, food in	%
box	doboz	capsa	pudel1ko	hako 箱	xiang1 箱	478	e	N	container, has lid, cube	%
brain	agy	cerebrum	mo1zg	nó 脳	nao3 脑	122	e	N	organ, control body, feel, conscious, thought in, memory in, emotion in	%
branch	a1g	ramus	gal1a1z1	eda 枝	shu4zhi1 树枝	66	u	N	part, long, from trunk, <tree has>	%
