en	hu	la	pl	ja	zh	num	s	l	def	%comment
sentence	mondat	sententia	zdanie	bun 文	ju4 句	1722	c	N	in text, has phrase	%
separate	ku2lo2n	segrego	osobny	bekko 別個	fen1li2 分离	1450	u	V	=agt cause_ {=pat at other(place/1026)}, "from _" mark_ place/1026	%
sequence	sorozat	sequentia	sekwencja	junjo 順序	shun4xu4 顺序	3137	u	N	many(thing) part_of, thing follow other, has order/2739	%
series	sorozat	series	seria	renzoku 連続	xi4lie4 系列	2951	u	N	structure, has item, item follow other(item)	%
set	tesz	pono	kl1as1c1	oku 置く	fang4 放	2375	e	V	=agt cause_ {=pat at position[<stable>,<proper>]}	%
set	kollekcio1	classis	kolekcja	hitokumi 一組	tao4 套	2746	e	N	group, has many(item), together, unit, item has common(characteristic)	%
seven	he1t	septem	siedem	shichi / nana 七	qi1 七	2996	e	A	number, follow six	%
several	sok	multus	kilka	takusan たくさん	hao3ji3ge4 好几个	2116	e	A	many	%
sew	varr	suo	szyc1	nuu 縫う	feng2 缝	2588	e	V	=agt cause_[cloth[fix]], ins_ needle, ins_ thread	%make or repair or fasten
sex	nem	sexus	pl1ec1	sei 性	xing4bie2 性别	1780	c	N	male is_a, female is_a	%
shape	alak	figura	ksztal1t	katachi 形	xing2 形	142	u	N	form	%geometrical
sharp	eles	acutus	ostry	surudoi 鋭い	jian1rui4 尖锐	611	u	A	has [<edge>,<point>]	%
sheep	juh	ovis	owca	hitsuji 羊	yang2 羊	1204	e	N	mammal, <at farm>, has wool	%
sheet	lap	charta	kartka	shítsu シーツ	pian4 片	1492	u	N	rectangular, flat	%
shelf	polc	loculus	po1l1ka	tana 棚	ge1ban3 搁板	1962	u	N	surface, vertical, hold, store, <rectangular>, rigid	%
shell	kagylo1	concha	muszla	kai 貝	bei4ke2 贝壳	1216	u	N	cover[hard, outer], <animal> in	%
shine	fe1nylik	splendeo	s1wiecic1	kagayaku 輝く	fa1guang1 发光	742	u	V	light/739	%
shoot	lo3	emitto	strzelac1	shoot 撃つ	she4ji2 射击	1551	e	V	after(bullet fly[fast]), ins_ gun	%
shop	bolt	taberna	sklep	mise 店	shang1dian4 商店	329	u	N	institution, sell in	%
short	ro2vid	brevis	kro1tki	mijikai 短い	duan3 短	2029	e	A	size[horizontal] er_ gen	%
shot	lo2ve1s	coniectus	strzal1	happó 発砲	she4ji2 射击	1550	e	N	shoot	%
shoulder	va1ll	humerus	ramie1	kata 肩	jian1bang3 肩膀	2548	e	N	organ, part_of body, neck at, arm at	%
show	mutat	monstro	pokazywac1	miseru 見せる	biao3shi4 表示	1742	e	V	=agt cause_[gen see =pat]	%
shut	za1rt	clausus	zamykac1	shimatta 閉まった	guan1bi4 关闭	2668	u	A	gen lack [move through]	%
sick	beteg	aeger	chory	byóki 病気	bing4 病	274	u	A	ill, <vomit>	%
side	oldal	latus	strona	men 面	bian1 边	1903	u	N	part, <two>, centre far, oppose, object has	%
sign	jel	signum	znak	kigó 記号	fu2hao4 符号	1183	c	N	gen perceive, information, show, has meaning	%
signal	jel	signum	signal	aizu 合図	xin4hao4 信号	1184	e	N	communicate, people see	%
similar	hasonlo1	similis	podobny	nite iru 似ている	xiang1si4 相似	2794	u	A	=agt has quality, =pat has quality, "to _" mark_ =pat	%
sit	u2l	sedeo	siedziec1	suwaru 座る	zuo4 坐	2493	c	U	=agt at surface[<seat>], =agt has buttocks, buttocks at surface, =agt has trunk/2759[vertical]	%
situation	helyzet	status	sytuacja	jókyó 状況	qing2kuang4 情况	2784	u	N	around	%
six	hat	sex	szes1c1	roku ６	liu4 六	2990	u	A	number, follow five	%
size	me1ret	magnitudo	rozmiar	ókisa 大きさ	da4xiao3 大小	1605	c	N	dimension	%
skin	bo3r	cutis	sko1ra	hada 肌	pi2fu1 皮肤	318	u	N	organ, part_of body, cover	%
sky	e1g	caelum	niebo	sora 空	tian1 天	496	c	N	high(er_ air), animal see, cloud on, sun on, star on	%has shape[dome]
slide	csu1szik	labor	s1lizgac1_sie1	suberu 滑る	hua2 滑	434	e	N	move, on surface, has constant(contact)	%
slope	lejt	declivis_est	opadac1	saka 坂	qing1xie2 倾斜	1529	e	U	=agt has direction, has end[high], =agt has end[other,low]	%lack(perpendicular), lack(horizontal), diagonal
small	kis	parvus	mal1y	chiisai 小さい	xiao3 小	1356	u	A	gen er_	%
smell	szag	odor	zapach	nioi 匂い	qi4wei4 气味	2151	c	N	feel ins_ nose, =pat in air	%
smooth	sima	levis	gl1adki	nameraka 滑らか	guang1hua2 光滑	2092	u	A	surface, easy(slide on)	%
snow	ho1	nix	s1nieg	yuki 雪	xue3 雪	1066	u	N	ice, fall/2694, soft, white	%
society	ta1rsadalom	societas	towarzystwo	shakai 社会	she4hui4 社会	2285	u	N	group, <people> member, has rule	%
soft	puha	mollis	mie1kki	yawarakai 柔らかい	ruan3 软	1979	c	A	hard(gen er_)	%
soil	talaj	solum	ziemia	tsuchi 土	tu3rang3 土壤	2298	u	N	ground, plant grow in	%
solid	szila1rd	solidus	solidny	kotai 個体	gu4ti3 固体	2216	u	A	firm/2215	%
solve	fejt	solvo	rozwia1zac1	toku 解く	jie3jue2 解决	760	c	V	work, =pat problem, =agt want [gen lack problem]	%
sorrow	bu1	dolor	smutek	kanashii 悲しい	bei1ai1 悲哀	341	u	N	emotion, er_ sad	%
sound	e1p	salvus	cal1y	kenkóteki 健康的	jian4quan2 健全	512	e	A	whole, firm/2215	%ND
sound	hang	sonus	odgl1os	oto 音	sheng1yin1 声音	993	e	N	wave, human hear, in air	%
soup	leves	ius	zupa	súpu スープ	tang1 汤	1541	e	N	food, liquid	%
sour	erjedt	fermentatus	kwas1ny	suppai 酸っぱい	suan1 酸	680	c	A	taste, resemble acid, <bad>	%
space	te1r	spatium	przestrzen1	kúkan 空間	kong1jian1 空间	2327	c	N	thing in, empty, three(dimension) in	%
space	u3r	vacuum	przestrzen1	uchú 宇宙	yu3zhou4 宇宙	2509	c	N	sun in, star in, atmosphere under	%
speak	besze1l	loquor	mo1wic1	hanasu 話す	shuo1hua4 说话	270	u	V	talk	%
speech	besze1d	oratio	przemo1wienie	hanashi 話	hua4 话	268	u	N	sound, =agt say  	%
split	hasi1t	findo	dzielic1	wareru 割れる	fen1lie4 分裂	1007	e	V	after(separate), <break>	%
spoon	kana1l	cochlear	l1yz1ka	supún スプーン	shao2 勺	1222	u	N	cutlery, {eat soup} ins_, has bowl, has handle	%
spring	tavasz	ver	wiosna	haru 春	chun1tian1 春天	2318	e	N	first(season/548), warm, plant[live], love in, summer follow, follow winter	%ND
stable	stabil	stabilis	stabilny	antei 安定	wen3ding4 稳定	3130	e	A	lack move	%
stand	a1ll	sto	stac1	tatsu 立つ	zhan4 站	74	u	U	=agt[vertical], <=agt on foot[two]>	%
star	csillag	stella	gwiazda	hoshi 星	xing1xing1 星星	408	u	N	planet, shine, dot, at sky, at night	%
start	kezdet	initium	pocza1tek	hajime 始め	kai1duan1 开端	1313	e	N	after(act) 	%
